team,prob_lr,prob_rf,ensemble_prob
Brazil,0.9058399226424438,0.9792380952380952,0.9485080655978851
Germany,0.879877788787107,0.9472380952380952,0.9316719540620202
France,0.8045430402595277,0.9865714285714285,0.9196714823306048
Argentina,0.8111740849043657,0.9569047619047619,0.911992941656662
Netherlands,0.7733216892315292,0.9885714285714287,0.9099310319879387
England,0.6784923540970927,0.9665476190476192,0.8709799837685234
Spain,0.7667928875113234,0.8697380952380952,0.8651406325554701
Italy,0.7013012936801709,0.9165714285714286,0.8574741904283184
Belgium,0.5935116932435932,0.8821547619047619,0.8129128388956838
Portugal,0.523224062246022,0.8922142857142856,0.792405762243534
Croatia,0.534556754981521,0.8419339826839827,0.7563150014045535
West Germany,0.5861456792172889,0.6743333333333332,0.6410658291385273
Uruguay,0.4029961516324636,0.6372828837828837,0.6393306668089813
Türkiye,0.3158052100977142,0.7276190476190475,0.5687142441939071
Sweden,0.38330061246463326,0.4649429773929774,0.5451342449119994
Korea Republic,0.2699455874554611,0.3784313186813187,0.429157046549886
Czechoslovakia,0.42575668128305,0.4821666666666667,0.40761041879645094
Colombia,0.4248626443638782,0.3489310726310727,0.37965578495397495
Morocco,0.17840881550957854,0.25693661370835286,0.2879518131534645
Mexico,0.4168634381368651,0.2700887445887446,0.2819105665139163
Bulgaria,0.11361119615469584,0.3144612726200828,0.23222951635296574
Romania,0.28935969295094194,0.16585784875350093,0.19177156238087903
United States,0.2296971735880168,0.2212351069982649,0.18716269031700797
Yugoslavia,0.3008531848465103,0.21605,0.18665968767320773
Russia,0.29575084485116926,0.17319471992961696,0.16982916558919833
Switzerland,0.3365300016250992,0.06756278302594092,0.16150888417426715
Costa Rica,0.16778157493802695,0.14113601503166717,0.15838641192756078
Paraguay,0.20446366848168618,0.15469402296576207,0.1521004372333525
Ecuador,0.22956513032292739,0.09425406364971582,0.14957239105750983
Japan,0.26740080058672866,0.08826119572435362,0.14120672911608678
FR Yugoslavia,0.20718166829514956,0.14651958114349417,0.1386780443052849
Nigeria,0.23582236766014658,0.09624286622776328,0.13470193058307933
Denmark,0.254419795123284,0.07260271982445894,0.11910167016370121
South Africa,0.10774142624142771,0.12321324842205844,0.11851762658435176
Senegal,0.2444935501097383,0.06846055594545296,0.11496049186338686
Côte d'Ivoire,0.17798142335074527,0.11161051709541411,0.11401079792230034
Ghana,0.20577184245862826,0.0609694126282227,0.10492481967217122
Chile,0.18881114458529807,0.04971796520286222,0.09239436233448346
Australia,0.13626431004492287,0.04172640724814637,0.0866127701604517
Cameroon,0.14973937897178272,0.05261253561253561,0.08643942011385479
Slovakia,0.10429187435958531,0.09392899644215434,0.08022530729867776
Republic of Ireland,0.12780598622504902,0.0449665656404787,0.07534915425418141
Poland,0.11911578893236034,0.05652365999539913,0.06644724938336986
Norway,0.12623792810127143,0.037172261796174846,0.06638129656534342
Soviet Union,0.13859598761888345,0.022700658837729776,0.06306807056423495
Bosnia and Herzegovina,0.13859598761888345,0.022700658837729776,0.06306807056423495
Saudi Arabia,0.07913530251993878,0.055238029683681876,0.062188386549947655
Serbia,0.10341023333126585,0.02499733028222731,0.06164321041658153
IR Iran,0.09796096442851877,0.038564634238547287,0.058464866546127786
Ukraine,0.13398942329598224,0.018068074031231923,0.058053488698166504
Peru,0.11795160489370637,0.031208424908424914,0.05648421262317486
Jamaica,0.040195953198573185,0.08480621118012424,0.0558439505547069
Czech Republic,0.10145129663170176,0.027105420742491684,0.050526936911300745
Algeria,0.10042665880781146,0.013244264507422401,0.04537024179357518
Austria,0.08114147523056621,0.027914636088549133,0.04446803402346061
Tunisia,0.09452402706073448,0.014445868945868946,0.04400841485063877
Greece,0.05348240543404364,0.029333333333333333,0.03671544926861638
New Zealand,0.05811792754666644,0.021914636088549135,0.033832127494449554
Angola,0.04669520322739443,0.02281318681318681,0.03086713189429204
Slovenia,0.0691919254460727,0.0,0.028233961585455297
Scotland,0.05719511481380734,0.0011490683229813663,0.024733363843549527
Egypt,0.04435687328449707,0.0,0.018948406920902664
Iceland,0.03736501464164517,0.0,0.017382085005165013
Honduras,0.023594571836050644,0.011666666666666665,0.01668082629218906
Bolivia,0.028296522643245153,0.0011490683229813663,0.015100499786695462
Canada,0.025276358307537206,0.0,0.012934211043396515
Togo,0.021598444138645274,0.0011490683229813663,0.012536718672144448
Trinidad and Tobago,0.020025632449140438,0.0011490683229813663,0.012343536388660556
Wales,0.0216550387666261,0.0,0.01172710452975948
Qatar,0.017875244304394345,0.0,0.010467173042348893
Serbia and Montenegro,0.012465789185958477,0.0011490683229813663,0.010261236980293307
United Arab Emirates,0.010245936894174475,0.0011490683229813663,0.009521286216365306
China PR,0.0075227367727044,0.0011490683229813663,0.008613552842541948
Panama,0.011685839820873465,0.0,0.008404038214508601
Korea DPR,0.005922073345787026,0.0011490683229813663,0.008079998366902824
