team,prob_lr,prob_rf,ensemble_prob
Brazil,0.9058399226424438,0.9792380952380952,0.9485080655978851
Germany,0.879877788787107,0.9472380952380952,0.9316719540620202
France,0.8045430402595277,0.9865714285714285,0.9196714823306048
Argentina,0.8111740849043657,0.9569047619047619,0.911992941656662
Netherlands,0.7733216892315292,0.9885714285714287,0.9099310319879387
England,0.6784923540970927,0.9665476190476192,0.8709799837685234
Spain,0.7667928875113234,0.8697380952380952,0.8651406325554701
Italy,0.7013012936801709,0.9165714285714286,0.8574741904283184
Belgium,0.5935116932435932,0.8821547619047619,0.8129128388956838
