Year,home_team,away_team,home_score,home_xg,home_penalty,away_score,away_xg,away_penalty,Round,_home_team_norm,_away_team_norm,Home_Avg_Squad_Age,Away_Avg_Squad_Age,Home_Avg_Experience_Caps,Away_Avg_Experience_Caps,Home_FIFA_Rank,Away_FIFA_Rank,FIFA_Rank_Diff,Age_Diff,Exp_Diff
2022,Portugal,Uruguay,2,1.3,,0,1.3,,Group stage,Portugal,Uruguay,26.88,27.85,41.08,45.5,4.0,21.0,17.0,-0.9700000000000024,-4.420000000000002
2022,Japan,Costa Rica,0,0.9,,1,0.1,,Group stage,Japan,Costa Rica,27.81,27.7,35.15,39.96,27.0,25.0,-2.0,0.10999999999999943,-4.810000000000002
2022,Belgium,Morocco,0,1.0,,2,1.5,,Group stage,Belgium,Morocco,27.88,26.31,52.19,20.04,6.0,,,1.5700000000000003,32.15
2022,Croatia,Canada,4,2.6,,1,0.4,,Group stage,Croatia,Canada,27.42,27.08,37.65,31.62,9.0,,,0.3400000000000034,6.029999999999998
2022,Spain,Germany,1,0.6,,1,1.3,,Group stage,Spain,Germany,25.38,26.85,28.19,35.23,2.0,8.0,6.0,-1.4700000000000024,-7.039999999999996
2022,Tunisia,Australia,0,0.9,,1,0.6,,Group stage,Tunisia,Australia,28.08,27.23,37.88,20.65,26.0,26.0,0.0,0.8499999999999979,17.230000000000004
2022,Poland,Saudi Arabia,2,1.6,,0,1.7,,Group stage,Poland,Saudi Arabia,27.04,26.43,34.5,48.17,31.0,28.0,-3.0,0.6099999999999994,-13.670000000000002
2022,France,Denmark,2,2.4,,1,0.6,,Group stage,France,Denmark,26.69,27.23,34.31,38.62,1.0,11.0,10.0,-0.5399999999999991,-4.309999999999995
2022,Argentina,Mexico,2,0.3,,0,0.3,,Group stage,Argentina,Mexico,27.81,28.58,34.12,50.65,6.0,8.0,2.0,-0.7699999999999996,-16.53
2022,Wales,IR Iran,0,0.9,,2,1.4,,Group stage,Wales,Iran,26.54,28.92,38.08,39.2,10.0,,,-2.3800000000000026,-1.1200000000000045
2022,Qatar,Senegal,1,1.0,,3,0.8,,Group stage,Qatar,Senegal,27.12,26.04,56.62,20.85,,32.0,,1.0800000000000018,35.769999999999996
2022,Netherlands,Ecuador,1,0.1,,1,1.7,,Group stage,Netherlands,Ecuador,26.69,25.62,26.27,24.27,5.0,29.0,24.0,1.0700000000000003,2.0
2022,England,United States,0,0.8,,0,0.6,,Group stage,England,USA,26.54,28.83,31.54,50.13,3.0,,,-2.289999999999999,-18.590000000000003
2022,Switzerland,Cameroon,1,1.4,,0,0.7,,Group stage,Switzerland,Cameroon,27.12,26.38,38.85,25.62,10.0,15.0,5.0,0.740000000000002,13.23
2022,Uruguay,Korea Republic,0,0.6,,0,0.6,,Group stage,Uruguay,South Korea,27.85,27.13,45.5,42.09,21.0,,,0.7200000000000024,3.4099999999999966
2022,Portugal,Ghana,3,2.0,,2,0.9,,Group stage,Portugal,Ghana,26.88,24.92,41.08,18.62,4.0,30.0,26.0,1.9599999999999973,22.459999999999997
2022,Brazil,Serbia,2,2.4,,0,0.2,,Group stage,Brazil,Serbia,28.0,26.92,36.62,29.85,1.0,19.0,18.0,1.0799999999999983,6.769999999999996
